p,q,model,auc_roc,auc_pr,accuracy,f1
1.4,0.6,Logistic Regression,0.7415934968847316,0.7698309408444017,0.6979946123914995,0.6843916171410698
1.4,0.6,Light GBM,0.9579543822629085,0.9517515017077038,0.8959892247829991,0.8979591836734694
1.4,0.6,Random Forest,0.9967131270033427,0.9956873685563903,0.9519604908709967,0.9541625017849494
1.4,0.8,Logistic Regression,0.7483499116354443,0.7736540740509588,0.7021849745585154,0.6898379052369078
1.4,0.8,Light GBM,0.9545928829421156,0.9449617523350452,0.8934450763244538,0.896149358226371
1.4,0.8,Random Forest,0.9965891380086204,0.9957255211916803,0.9539060161628256,0.955937052932761
1.4,1.0,Logistic Regression,0.7461198118914942,0.7684815425993059,0.6993415145166118,0.6869253545270376
1.4,1.0,Light GBM,0.9557726597278817,0.9464274678036582,0.8949416342412452,0.8967950602763893
1.4,1.0,Random Forest,0.9969401863292995,0.9961736545650267,0.953307392996109,0.9553903345724908
1.4,1.2,Logistic Regression,0.7576195223897337,0.7757357170699564,0.7020353187668362,0.6869004560465483
1.4,1.2,Light GBM,0.9584783791054894,0.9515977584083936,0.9004788985333733,0.9026781794233865
1.4,1.2,Random Forest,0.9968098366274778,0.9959133710445673,0.9530080814127506,0.9551172098341909
1.4,1.4,Logistic Regression,0.7342057595575671,0.7640056254744172,0.685423525890452,0.669080604534005
1.4,1.4,Light GBM,0.9569359524276445,0.9489384717878627,0.8961388805746783,0.8980311489861886
1.4,1.4,Random Forest,0.9967199356475616,0.9956868307677227,0.9546542951212212,0.956621331424481
1.4,1.6,Logistic Regression,0.743588877577979,0.7686062779165082,0.6947021849745585,0.6796482412060302
1.4,1.6,Light GBM,0.9586476097492977,0.9515416986291925,0.9019754564501646,0.9035772118357132
1.4,1.6,Random Forest,0.996321585167046,0.9950602092576375,0.953307392996109,0.9553903345724908
1.4,1.8,Logistic Regression,0.7467952114805209,0.7708719957417507,0.6988925471415743,0.6855267271022193
1.4,1.8,Light GBM,0.9591195562985738,0.9536474635000853,0.8979347500748279,0.8997942991478106
1.4,1.8,Random Forest,0.9974219427014962,0.9968656724195954,0.9552529182879378,0.957169459962756
1.4,2.0,Logistic Regression,0.7377083590710536,0.7688116055004472,0.6939539060161628,0.6801188800250274
1.4,2.0,Light GBM,0.9579963987647329,0.9511974783325307,0.8967375037413948,0.8981700118063755
1.4,2.0,Random Forest,0.996487321901321,0.9953700181548499,0.9540556719545047,0.9560738303047647
1.6,0.2,Logistic Regression,0.7409525884539191,0.7642348595768763,0.6993415145166118,0.6847638474815628
1.6,0.2,Light GBM,0.9553786542374271,0.9456478021052677,0.892547141574379,0.89530475357247
1.6,0.2,Random Forest,0.9967921879049632,0.995830685767202,0.9519604908709967,0.9541625017849494
1.6,0.4,Logistic Regression,0.7415132265528883,0.7696696902042328,0.6908111343909009,0.6771875
1.6,0.4,Light GBM,0.9565802007672088,0.9514432883199487,0.8900029931158335,0.8924022837066314
1.6,0.4,Random Forest,0.9968359065678423,0.9956975015587637,0.953307392996109,0.9553903345724908
1.6,0.6,Logistic Regression,0.7421794882246738,0.7656632701913668,0.695300808141275,0.6795719231979857
1.6,0.6,Light GBM,0.9560266400747303,0.9492783096046423,0.8934450763244538,0.895509245670678
1.6,0.6,Random Forest,0.9970881399599241,0.9964452443223782,0.9524094582460341,0.9545714285714285
1.6,0.8,Logistic Regression,0.743201591144319,0.766277415703564,0.6969470218497456,0.6843335931410757
1.6,0.8,Light GBM,0.9586078329330716,0.9528514602455763,0.8976354384914697,0.8995889606576629
1.6,0.8,Random Forest,0.9970066154041455,0.9962007591178081,0.9528584256210715,0.9549807060168642
1.6,1.0,Logistic Regression,0.7391628108985968,0.7672237390032897,0.6908111343909009,0.676581089542893
1.6,1.0,Light GBM,0.9563083029355739,0.9501461175194589,0.8934450763244538,0.895784543325527
1.6,1.0,Random Forest,0.9962390751496043,0.9947492679917511,0.9519604908709967,0.9541625017849494
1.6,1.2,Logistic Regression,0.7490673277262953,0.7700859663401147,0.6987428913498952,0.6865950490425035
1.6,1.2,Light GBM,0.9575655728430416,0.9514149743622161,0.8940436994911704,0.896460953495174
1.6,1.2,Random Forest,0.9969615081361956,0.9962228507137593,0.9525591140377132,0.9547078154022003
1.6,1.4,Logistic Regression,0.7404678309030206,0.7655558396356164,0.6851242143070937,0.6720698254364091
1.6,1.4,Light GBM,0.9565629103943898,0.9513289198111413,0.8941933552828495,0.8955841086988627
1.6,1.4,Random Forest,0.996651849205373,0.9956996182243095,0.9537563603711464,0.9558003146903162
1.6,1.6,Logistic Regression,0.7476405584127473,0.7682564262722581,0.6993415145166118,0.687120386232674
1.6,1.6,Light GBM,0.9602858501770383,0.9547183725776671,0.8970368153247531,0.8993268949370793
1.6,1.6,Random Forest,0.9970455859335561,0.9962947227453116,0.9510625561209218,0.9533456983877872
1.6,1.8,Logistic Regression,0.7447414197868697,0.7681835640371395,0.6985932355582161,0.6862928348909658
1.6,1.8,Light GBM,0.9562603736637698,0.948939879593545,0.89583956899132,0.8980667838312829
1.6,1.8,Random Forest,0.9967339560794071,0.9958201355172273,0.9555522298712961,0.9574437598509815
1.6,2.0,Logistic Regression,0.7447895282335215,0.7650230571792603,0.6964980544747081,0.6853862860688799
1.6,2.0,Light GBM,0.9579068113408002,0.9503444578761064,0.8949416342412452,0.8971277842907386
